disposition,period,duration,transit_depth,planet_radius,star_temp,star_radius,model_snr,fp_flag_nt,fp_flag_ss,fp_flag_co,fp_flag_ec,source_kepler,source_tess
1,13.81020318,3.048,1309.7,4.56,5942.0,1.142,46.2,0.0,0.0,0.0,0.0,True,False
1,4.093578461,2.5833,538.6,2.85,6077.0,0.999,36.4,0.0,0.0,0.0,0.0,True,False
1,105.145959,8.593,685.4,3.43,6077.0,0.999,15.4,0.0,0.0,0.0,0.0,True,False
1,10.8484518,2.9993,1675.6,2.34,4201.0,0.591,64.5,0.0,0.0,0.0,0.0,True,False
1,6.66833241,1.915,362.3,1.18,4201.0,0.591,14.2,0.0,0.0,0.0,0.0,True,False
1,4.082274889,3.23015,17859.0,10.55,5655.0,0.794,1669.1,0.0,0.0,0.0,0.0,True,False
1,42.1406089,5.083,895.5,1.85,4500.0,0.646,21.6,0.0,0.0,0.0,0.0,True,False
1,4.617490562,2.2618,575.8,1.62,4500.0,0.646,28.1,0.0,0.0,0.0,0.0,True,False
1,10.19849255,2.4283,634.1,1.75,4500.0,0.646,21.4,0.0,0.0,0.0,0.0,True,False
0,5.795063956,3.2496,1692.9,4.33,5865.0,0.827,119.4,0.0,0.0,1.0,0.0,True,False
1,7.15681552,2.5882,867.0,2.47,5029.0,0.838,47.7,0.0,0.0,0.0,0.0,True,False
1,17.64830851,2.0873,763.3,2.43,5029.0,0.838,23.8,0.0,0.0,0.0,0.0,True,False
1,4.14810719,2.535,175.2,1.08,5029.0,0.838,12.9,0.0,0.0,0.0,0.0,True,False
1,16.51410989,4.1575,973.5,2.72,5527.0,0.866,55.9,0.0,0.0,0.0,0.0,True,False
1,30.1329298,5.172,1015.8,3.14,5527.0,0.866,44.8,0.0,0.0,0.0,0.0,True,False
1,4.79090809,2.603,251.3,1.36,5527.0,0.866,21.2,0.0,0.0,0.0,0.0,True,False
1,31.71981013,4.819,363.4,3.09,5869.0,1.626,63.1,0.0,0.0,0.0,0.0,True,False
1,99.6415962,4.448,952.5,2.64,5527.0,0.866,22.7,0.0,0.0,0.0,0.0,True,False
